Date,SPY,MCK,AVGO,PWR,HYG
2025-01-01,596.5924682617188,592.7954711914062,219.70802307128906,307.2409973144531,75.96880340576172
2025-02-01,589.018798828125,638.1559448242188,198.0221710205078,259.400634765625,76.3595199584961
2025-03-01,554.531005859375,670.7783813476562,166.24806213378906,253.95542907714844,75.5188980102539
2025-04-01,551.3768310546875,711.2362060546875,191.68960571289062,292.4314270019531,75.59412384033203
2025-05-01,586.0280151367188,717.941650390625,241.0885009765625,342.38677978515625,76.89937591552734
2025-06-01,614.32568359375,731.1826782226562,274.5323486328125,377.8887939453125,78.34281921386719
2025-07-01,630.3324584960938,692.7117309570312,293.1976623535156,405.92462158203125,78.45126342773438
2025-08-01,643.2666015625,685.8200073242188,296.88134765625,377.8688049316406,79.29236602783203
2025-09-01,664.338134765625,771.6173706054688,329.3457336425781,414.32000732421875,80.01814270019531
2025-10-01,682.0599975585938,811.3400268554688,369.6300048828125,449.0216369628906,80.01275634765625
