,sector,mcap,EP,FCP,EP_sn,FCP_sn,EP_use,FCP_use,ShYield,GPA,AssetGrowth,Accruals,EP_z,FCP_z,ShYield_z,GPA_z,Accruals_z,AssetGrowth_z,Value,Quality,Stability,Score2,beta_spy,downside_dev,max_dd_monthly,ret_5y,vol_5y,dd_5y
UPS,Industrials,,0.06993225860777817,,0.02839494033979978,,0.02839494033979978,,,0.23666832299925825,0.021680255841424415,-0.032675,1.7617516060505465,,,-0.28019067236553147,-1.4533637591786464,-0.40774342778749084,1.7617516060505465,1.173173086813115,0.40774342778749084,1.2555185627029628,1.0604884284831246,0.2684770120062555,-0.5426273032405888,-0.3223037309846568,0.2755394110169426,-0.5426273032405889
UAL,Industrials,,0.10335625544963739,,0.061818937181659,,0.061818937181659,,,0.22693560268936022,0.05336227373249242,-0.0264249999999999,2.6671833747688676,,,-0.3866269748219867,-0.8382536802369287,0.01724504752448701,2.6671833747688676,0.451626705414942,-0.01724504752448701,1.2440750225686266,1.4660592755509094,0.41366916730653297,-0.7100310051660548,1.1627081455092374,0.4628304572530643,-0.44250214858661374
TSCO,Consumer Cyclical,,0.07057306002753305,,0.02903574175955466,,0.02903574175955466,,,0.5445029744435823,0.07913220919075879,-0.031875,1.0823102452222595,,,1.0732276604354343,-0.8645552837609904,-0.17845878054657136,1.0823102452222595,1.9377829441964247,0.17845878054657136,1.243729031876788,0.8542017502082337,0.24170339261791493,-0.42766891245852,1.0819104536846762,0.23019069033305553,-0.21307748083297628
LRCX,Technology,,0.06840288410732309,,0.0268655658393447,,0.0268655658393447,,,0.4451360474977219,0.1387340483148115,-0.023925,1.8459994007680132,,,0.9793158712400514,-0.26254287353063055,0.007079217312256232,1.8459994007680132,1.241858744770682,-0.007079217312256232,1.233727414753027,1.5513849444463643,0.31681318900612065,-0.4857309616373485,2.7211599876212698,0.39083273933205814,-0.48573096163734863
ODFL,Industrials,,0.03516797866081708,,-0.006369339607161316,,-0.006369339607161316,,,0.3471018801057359,0.03892874093970986,-0.046625,-0.3000223329245447,,,0.91214505728335,-2.3665141403875465,-0.17731868128426453,-0.3000223329245447,3.2786591976708968,0.17731868128426453,1.2269184821553936,1.1531439729481843,0.2641281188857051,-0.374631734024676,0.40735838420244086,0.3115112372577449,-0.3746317340246761
JKHY,Technology,,0.03799751171667163,,-0.0035398065513067636,,-0.0035398065513067636,,,0.34343903308226986,0.04085818988052923,-0.0476,0.3229765981937464,,,0.13561529236533104,-2.1197365968482034,-0.7023617298550933,0.3229765981937464,2.2553518892135345,0.7023617298550933,1.171803740933931,0.6243487832613583,0.19424669593985805,-0.3109871808492557,0.06273160487746487,0.2105624267200352,-0.31098718084925625
LOW,Consumer Cyclical,,0.05228169415225045,,0.010744375884272059,,0.010744375884272059,,,0.6223621066445718,0.03738816931499533,-0.03185,0.259245731371859,,,1.5159738632758513,-0.8620563469040057,-0.4375283080982511,0.259245731371859,2.378030210179857,0.4375283080982511,1.1424160382403366,1.1681361086241138,0.23147026334181914,-0.31927028820052994,0.6405715877778264,0.2406521103670969,-0.31927028820052994
EIX,Utilities,,0.11188809269463294,,0.07035077442665455,,0.07035077442665455,,,0.0832659590690555,0.04710085123440779,-0.0296,2.763616123953843,,,-0.6511510263643103,-0.39077869984788194,-0.6624259404916353,2.763616123953843,-0.2603723265164284,0.6624259404916353,1.133782707073293,0.6771933662649463,0.3265950800303664,-0.3965664173042166,0.17151933019030863,0.2697517783930083,-0.3965664173042165
SYF,Financial Services,,0.11188809269463294,,0.07035077442665455,,0.07035077442665455,,,,0.00013279220509756077,-0.000425,2.309232091419595,,,,1.1038477864086593,-0.9754402316678167,2.309232091419595,,0.9754402316678167,1.1187808829014014,1.6255891039091197,0.384710822218612,-0.5715945202388524,1.6931445552743072,0.3550148388058026,-0.43614330836255455
FI,Technology,,0.10423861727585948,,0.06270129900788109,,0.06270129900788109,,,0.16189350299936345,-0.12723594206621922,-0.027025,2.6784716767832255,,,-1.3360602707589289,-0.5676337008193633,-1.7196063666383543,2.6784716767832255,-0.7684265699395656,1.7196063666383543,1.107939316065135,0.8344106970727352,0.3253781108093157,-0.7297297292922911,-0.446952590778236,0.34831513905432265,-0.7297297292922911
MRK,Healthcare,,0.07823365896499852,,0.03669634069702013,,0.03669634069702013,,,0.4171519186445901,0.043443132380360475,-0.025425,1.6586684085263559,,,0.6976841856709507,-0.29711365274672336,-0.23192522678224675,1.6586684085263559,0.9947978384176741,0.23192522678224675,1.1077715441340614,0.36823873227895154,0.18337781741404693,-0.400398520080972,0.3174361880774903,0.21428515884598004,-0.400398520080972
MA,Financial Services,,0.02686740363992783,,-0.014669914628050562,,-0.014669914628050562,,,0.47431858579339103,0.2149150780714809,-0.0518249999999999,-1.50969926204882,,,2.5328403170741005,-2.4523007707322475,1.4812378378517812,-1.50969926204882,4.985141087806348,-1.4812378378517812,1.0939291627326548,1.023896491152631,0.22957521391714752,-0.26194172384982395,0.6873862991369655,0.22026314023023588,-0.26194172384982384
CCL,Consumer Cyclical,,0.08641975456639821,,0.044882436298419814,,0.044882436298419814,,,0.20760767180391607,0.020600341331191648,-0.04505,1.6741550921580255,,,-1.1750994738721328,-1.9498293532592856,-0.5400862014534704,1.6741550921580255,0.7747298793871529,0.5400862014534704,1.0875712289087656,2.379945341791437,0.5033530821904961,-0.8933455901800311,0.3378378455780724,0.6316145340466796,-0.7621786083620206
KMB,Consumer Defensive,,0.06990852293376928,,0.02837120466579089,,0.02837120466579089,,,0.39816131881953076,-0.029456018518518517,-0.0303249999999999,0.9031215102607695,,,0.6435076154669757,-0.8250031346481825,-0.6280976334512004,0.9031215102607695,1.4685107501151582,0.6280976334512004,1.074272430840611,0.38237354717619165,0.17232089941391598,-0.2636419739795939,-0.10871836039285843,0.19910266126566184,-0.263641973979594
URI,Industrials,,0.04576480990274093,,0.004227491634762534,,0.004227491634762534,,,0.21698834236719347,0.05769021837540289,-0.06295,0.4041099027297798,,,-0.4943942072175235,-2.8061401806072137,0.07563191783826376,0.4041099027297798,2.3117459733896903,-0.07563191783826376,1.0712159668801355,1.9806727904804737,0.3914750246886078,-0.4338800352549994,2.850569863215235,0.3953771995566987,-0.35926254774856525
JBHT,Industrials,,0.03240523971944035,,-0.009132078548538043,,-0.009132078548538043,,,0.2492256909885723,-0.020763841689757933,-0.064175,-0.48131732752814843,,,-0.14184450477182148,-2.8231504442741198,-0.94930111728898,-0.48131732752814843,2.6813059395022982,0.94930111728898,1.0698556682474558,1.1476492101979754,0.22687906153446893,-0.3607030727018956,0.3232956951922381,0.2809040550156819,-0.3607030727018954
FDX,Industrials,,0.06509214482954159,,0.0235548265615632,,0.0235548265615632,,,0.22290639328037581,0.01966301853282744,-0.031475,1.5366385254618722,,,-0.4304178834156364,-1.344430806928841,-0.4344281991730873,1.5366385254618722,0.9140129235132046,0.4344281991730873,1.0671462194246482,1.3389078077515608,0.32370343213921265,-0.523365953286935,0.003912002047061991,0.31797809093151636,-0.5177574068133924
AOS,Industrials,,0.05418049930965841,,0.012643181041680017,,0.012643181041680017,,,0.4486621322219296,0.015355266449837379,-0.015775,0.936239174339681,,,1.7917559792452815,0.37267844439200803,-0.4911731227624425,0.936239174339681,1.4190775348532734,0.4911731227624425,1.0403613082296703,1.2081596249703626,0.2605790858697899,-0.4268417177444803,0.28773591899723927,0.2903868524863144,-0.4268417177444803
MSCI,Financial Services,,0.02589002424651398,,-0.015647294021464413,,-0.015647294021464413,,,0.45511833201235763,-0.015239058992642803,-0.026325,-1.5498483332144826,,,2.4609004708289954,-1.107518748988657,-1.1405084371328469,-1.5498483332144826,3.5684192198176525,1.1405084371328469,1.0355300420678375,1.104257451241391,0.2193101648106176,-0.3762599301600583,0.49379220857434625,0.2813028008623576,-0.3762599301600583
ECL,Basic Materials,,0.025572950748182863,,-0.01596436751979553,,-0.01596436751979553,,,0.3051181232738504,0.10596501691377237,-0.0384,-0.006093286888407209,,,1.9485495484741409,-1.2591472936619983,1.4796879980127648,-0.006093286888407209,3.207696842136139,-1.4796879980127648,0.9847038224965396,1.000162574541856,0.1923369922103506,-0.3782076185288169,0.21696960522396025,0.21125669705789132,-0.3782076185288169
