,mcap,EP,FCP,ShYield,ROA,ROE,GPA,AssetGrowth,Accruals_est,Accruals_dolt,Accruals,ret_1y,vol_1y,dd_1y,ret_2y,vol_2y,dd_2y,ret_5y,vol_5y,dd_5y,downside_dev,beta_spy,max_dd_monthly,EP_z,FCP_z,ShYield_z,GPA_z,AssetGrowth_z,Accruals_z,Score
ALL,,,,,0.05102373936001227,,,0.06944854569614646,,-0.006575,-0.006575,-0.06413843310746492,0.1785053901468465,-0.10901464971747954,0.43720946232613644,0.2010233901468013,-0.10901464971747965,1.1032251244062858,0.22159850310725268,-0.19606595293732987,0.1861098409276541,0.5362989148905454,-0.23901259441369216,,,,,-0.05874151413349149,0.9625380810893687,-0.9037965669558772
ALLE,,,,,0.13224641507043147,,0.36700386475470426,0.028394467577577368,,-0.014575,-0.014575,0.18252200450701928,0.20445534051787517,-0.071440727328417,0.5932746412076599,0.2440187580583443,-0.11938345513244031,0.5458022160789406,0.2571769697875334,-0.3662686284817235,0.21898178123440235,1.0789958723204207,-0.36626862848172326,,,,0.5385036848575414,-0.31228614410044037,0.4919399424663953,0.35884988649158656
AMAT,,,,,0.20154878678368612,,0.4094107235046832,0.016762267066900465,,0.0011749999999999,0.0011749999999999,0.3715288886650727,0.4206361835249348,-0.19348907461398368,0.6123042998988746,0.3717423835331215,-0.3810088170030045,2.0036115108315933,0.37356526607812957,-0.47579546225374914,0.31052721253953597,1.583497432388019,-0.47579546225374925,,,,0.775394503401161,-0.3841250967536469,1.4184300278803683,-0.2589104277255603
AMCR,,,,,0.023179070795958406,,0.12855085447308437,0.9951456040739053,,-0.010175,-0.010175,-0.24142359271907965,0.16970948279235726,-0.2123374894443878,-0.1050204616516962,0.2023976467235098,-0.2786919198655442,-0.14797375424950465,0.20249516665328035,-0.30541323442024937,0.2083877589206523,0.7948646282172254,-0.3054132344202495,,,,-0.7935291620656252,5.6582427389296095,0.7507689187090306,-7.202540819704265
AMD,,,,,0.03974308632972458,,0.1976776799237112,0.10214182600241581,,-0.017775,-0.017775,0.8927686817286509,0.7244655589784454,-0.19405581806228023,1.1430338894722682,0.5810479273462653,-0.4943645193406123,1.8021798363327814,0.5634697081584505,-0.6207614874973696,0.4168023486372057,2.0936183917327114,-0.6207614874973696,,,,-0.40737676250056587,0.14316791941214996,0.3037006870172059,-0.8542453689299216
AME,,,,,0.09657802122687259,,0.169388259972507,0.031811588453153065,,-0.01715,-0.01715,0.029041817109597634,0.162394954994357,-0.10256432901225587,0.29689377690791474,0.16354501546191494,-0.12475469436072995,0.7319645804434365,0.20009230556111915,-0.25001877825382457,0.19856299974788022,1.2086158468162305,-0.27623617747722495,,,,-0.565405535343079,-0.2911824514186091,0.3404661665971257,-0.6146892505215956
AMGN,,,,,0.07354730461740179,,0.2501875072919502,-0.03311076154751559,,-0.046025,-0.046025,0.0739137985003715,0.19553698943614187,-0.09588355619127287,0.16064706604875667,0.22617707010417767,-0.2129995494573318,0.5509153270558678,0.22719630749585773,-0.21544663046103352,0.20790220194134704,0.6138450789176342,-0.21544663046103374,,,,-0.11404930667120744,-0.6921344143384381,-1.3580989899951694,1.9361840976624
AMP,,,,,0.01763899941750281,,,0.028953811908736783,,0.002525,0.002525,-0.2045119976920332,0.18429892433704337,-0.15969846258638198,0.3092916538816395,0.20720622575799955,-0.20451199769203343,1.6275496417107802,0.2516979342797288,-0.21254296068426526,0.27309338428368723,1.5174603094188521,-0.38144136531517703,,,,,-0.3088317064911404,1.497843463773001,-1.1890117572818606
AMT,,,,,0.020709294954071675,,0.12222777100754773,-0.03164291637934439,,-0.025525,-0.025525,-0.1259049376572915,0.22105560467778138,-0.20323155600529108,-0.09621283581059437,0.2476790595304986,-0.20874170338576692,-0.11881781022977889,0.26247589655552106,-0.41396271020205844,0.22314423823281365,0.5883225876270659,-0.4139627102020583,,,,-0.8288508166758325,-0.68306919409557,-0.1521912597737997,0.006409637193537182
AMZN,,,,,0.11143906024033648,,0.5244813893471498,0.22953833509367036,,-0.060925,-0.060925,0.22179999396665284,0.269897088432352,-0.22408278419752314,0.7386542978105426,0.23510205446354424,-0.22408278419752303,0.6035151800403673,0.30906110419225596,-0.5209676463567985,0.26880690164467,1.2745213877128818,-0.5209676463567985,,,,1.4181958102014383,0.9299521376166091,-2.2345880231804576,2.7228316957652865
ANET,,,,,0.22447809475009806,,0.35260338362929405,0.42251275139838435,,-0.015425,-0.015425,0.5532994282560197,0.41201654382134223,-0.32760564870476083,1.869054508620963,0.3410436711962478,-0.32760564870476083,8.314517280028245,0.36714190874180735,-0.3478956670346468,0.38014145707501046,1.3006958151917933,-0.3858678357663967,,,,0.4580605239685718,2.1217369545538647,0.44193889023770433,-2.1056153208229973
AON,,,,,0.05124923706955957,,0.15500777696836054,0.04969583892095699,,-0.006875,-0.006875,-0.12680142322903232,0.206388264083955,-0.1658441621480229,0.049540439279371906,0.23982237621080338,-0.16584416214802278,0.7216988946357639,0.2353937056892178,-0.17725665541486546,0.21550457261593348,0.8432894995260993,-0.2506695486326693,,,,-0.6457369838474216,-0.18073165396069205,0.9448906508910072,-1.409895980777737
AOS,,,,,0.16069906883782906,,0.4486621322219296,0.015355266449837379,,-0.015775,-0.015775,-0.10039642946926552,0.17894149701396686,-0.10071772777253396,-0.09642108251555315,0.21840064863439304,-0.27353490636711963,0.2760753843674235,0.2904379273922134,-0.4268417317354858,0.2582098432453491,1.211978980400452,-0.4268417317354858,,,,0.9946585237531346,-0.39281454898750856,0.42135022167294917,0.966122851067694
